name	region	elevation	gps	area	population	density	zip	suj	ecv	tel
Ľubotín	Prešovský kraj	492	49.261667°N 20.877222°E	10,84	1 377	127,03	065 41	526878	SL	+421-52	
Ľubovec	Prešovský kraj	320	48.9130°N 21.1744°E	15,48	490	31,65	082 42 	524794	PO	+421-51	
Ľudovítová	Nitriansky kraj	150	48.397222°N 18.077778°E	1,88	250	132,98	951 44 	581097	NR	+421-37	
Ľutina	Prešovský kraj	429	49.1673°N 21.0476°E	6,91	464	67,15	082 57	524824	SB	+421-51	
Ľutov	Trenčiansky kraj	248	48.774722°N 18.279722°E	8,58	159	18,53	957 03 	505056	BN	+421-38	
Macov	Trnavský kraj	123	48.020833°N 17.427778°E	2,72	278	102,21	930 32 	555606	DS	+421-31	
Mad	Trnavský kraj	114	47.954167°N 17.658333°E	7,71	537	69,65	930 14 	555649	DS	+421-31	
Madunice	Trnavský kraj	148	48.4768°N 17.7799°E	12	2 184	182	922 42	507288	HC	+421-33	
Magnezitovce	Banskobystrický kraj	346	48.6684°N 20.2254°E	15,18	456	30,04	049 16 	525944	RA	+421-58	
Machulince	Nitriansky kraj	230	48.412778°N 18.433889°E	9,42	1 115	118,37	951 93 	500500	ZM	+421-37	
Majcichov	Trnavský kraj	149	48.283333°N 17.633333°E	18,2	1 907	104,78	919 22	507296	TT	+421-33	
Majere	Prešovský kraj	466	49.3965°N 20.3768°E	1,33	95	71,43	061 01 	523674	KK	+421-52	
Majerovce	Prešovský kraj	135	48.8920°N 21.7146°E	3,54	454	128,25	094 09 	528838	VT	+421-57	
Makov	Žilinský kraj	583	49.370556°N 18.479722°E	46,05	1 780	38,65	023 56	509299	CA	+421-41	
Makovce	Prešovský kraj	255	49.2581°N 21.7527°E	4,57	175	38,29	090 23 	527521	SP	+421-54	
Malá Čalomija	Banskobystrický kraj	151	48.0851°N 19.2302°E	6,41	215	33,54	991 08 	516171	VK	+421-47	
Malá Čausa	Trenčiansky kraj	340	48.799444°N 18.700833°E	15,35	674	43,91	971 01 	514179	PD	+421-46	
Malá Čierna	Žilinský kraj	530	49.102778°N 18.596944°E	4,26	354	83,1	015 01 	517780	ZA	+421-41	
Malá Domaša	Prešovský kraj	140	48.9691°N 21.7105°E	5,66	492	86,93	094 02 	528846	VT	+421-57	
Malá Franková	Prešovský kraj	760	49.3140°N 20.3044°E	10,81	185	17,11	059 78 	559938	KK	+421-52	
Malá Hradná	Trenčiansky kraj	290	48.756667°N 18.166111°E	7,91	370	46,78	956 54 	505072	BN	+421-38	
Malá Ida	Košický kraj	306	48.683333°N 21.166667°E	10,19	1 452	142,49	044 20	521655	KS	+421-55	
Malá Lehota	Banskobystrický kraj	625 819	48.4990°N 18.5689°E	22,84	904	39,58	966 42	517062	ZC	+421-45	
Malá Lodina	Košický kraj	315	48.8771°N 21.1338°E	38,34	180	4,69	044 81 	521663	KS	+421-55	
Malá Mača	Trnavský kraj	121	48.222500°N 17.640000°E	7,97	595	74,65	925 21 	582638	GA	+421-31	
Malá nad Hronom	Nitriansky kraj	118	47.855000°N 18.677778°E	7,72	386	50	943 65 	503347	NZ	+421-36	
Malá Poľana	Prešovský kraj	327	49.2811°N 21.8251°E	10,95	113	10,32	090 24 	527530	SP	+421-54	
Malá Tŕňa	Košický kraj	167	48.455164°N 21.682042°E	9,81	429	43,73	076 82 	513792	TV	+421-56	
Malacky	Bratislavský kraj	159	48.435833°N 17.017778°E	27,17	17 087	628,89	901 01	508063	MA	+421-34	
Malachov	Banskobystrický kraj	505	48.710000°N 19.090000°E	6,27	1 070	170,65	974 05 	580244	BB	+421-48	
Málaš	Nitriansky kraj	158	48.0504°N 18.5248°E	15,98	482	30,16	935 67	502511	LV	+421-36	
Malatiná	Žilinský kraj	803	49.1867°N 19.4313°E	19,14	821	42,89	026 01 	509825	DK	+421-43	
Malatíny	Žilinský kraj	553	49.0588°N 19.4544°E	4,18	194	46,41	032 15 	510831	LM	+421-44	
Malcov	Prešovský kraj	410	49.308333°N 21.071667°E	18,88	1 551	82,15	086 06	519570	BJ	+421-54	
Malčice	Košický kraj	120	48.5765°N 21.8530°E	22,66	1 496	66,02	072 06	522759	MI	+421-56	
Malé Borové	Žilinský kraj	904	49.2273°N 19.5328°E	5,83	145	24,87	027 32 	510840	LM	+421-44	
Malé Dvorníky	Trnavský kraj	115	48.011111°N 17.643056°E	6,89	1 090	158,2	929 01 	555665	DS	+421-31	
Malé Chyndice	Nitriansky kraj	188	48.303881°N 18.280056°E	7,89	385	48,8	951 54	556785	NR	+421-37	
Malé Hoste	Trenčiansky kraj	276	48.697222°N 18.137500°E	6,81	426	62,56	956 37 	505102	BN	+421-38	
Malé Kosihy	Nitriansky kraj	110	47.923333°N 18.750000°E	8,43	395	46,86	943 61 	503355	NZ	+421-36	
Malé Kozmálovce	Nitriansky kraj	175	48.2723°N 18.5118°E	9,22	381	41,32	935 21 	581135	LV	+421-36	
Malé Kršteňany	Trenčiansky kraj	207	48.6388°N 18.4255°E	6,29	550	87,44	958 03 	505129	PE	+421-38	
Malé Lednice	Trenčiansky kraj	430	49.068611°N 18.572222°E	15,11	511	33,82	018 16 	557579	PB	+421-42	
Malé Leváre	Bratislavský kraj	153	48.502150°N 16.970397°E	21,41	1 150	53,71	908 74	504556	MA	+421-34	
Malé Ludince	Nitriansky kraj	132	47.9862°N 18.6968°E	6,8	176	25,88	937 01 	502537	LV	+421-36	
Malé Ozorovce	Košický kraj	197	48.680665°N 21.611424°E	17,08	536	31,38	078 01 	528536	TV	+421-56	
Malé Raškovce	Košický kraj	102	48.5786°N 21.9177°E	8,75	249	28,46	072 17 	522767	MI	+421-56	
Malé Ripňany	Nitriansky kraj	174	48.4783°N 17.9826°E	8,52	551	64,67	956 07 	505137	TO	+421-38	
Malé Straciny	Banskobystrický kraj	200	48.2082°N 19.4153°E	6,84	134	19,59	990 01 	558206	VK	+421-47	
Malé Trakany	Košický kraj	105	48.4010°N 22.1014°E	11,02	1 110	100,73	076 42 	528544	TV	+421-56	
Malé Uherce	Trenčiansky kraj	211	48.6213°N 18.4027°E	5,97	703	117,76	958 03 	580953	PE	+421-38	
Malé Vozokany	Nitriansky kraj	176	48.3095°N 18.3978°E	5,86	281	47,95	951 82	555924	ZM	+421-37	
Malé Zálužie	Nitriansky kraj	159	48.4360°N 17.9863°E	5,91	281	47,55	951 24 	500534	NR	+421-37	
Malé Zlievce	Banskobystrický kraj	166 – 267	48.1803°N 19.4473°E	9,05	269	29,72	991 22 	516198	VK	+421-47	
Málinec	Banskobystrický kraj	298	48.500000°N 19.666667°E	50	1 524	30,48	985 26	511595	PT	+421-47	
Malinová	Trenčiansky kraj	342	48.8537°N 18.6168°E	13,09	900	68,75	972 13 	514187	PD	+421-46	
Malinovo	Bratislavský kraj	128	48.1577°N 17.2990°E	8,7	2 258	259,54	900 45	508071	SC	+421-2	
Malužiná	Žilinský kraj	733	48.979722°N 19.770556°E	39,48	268	6,79	032 34	510858	LM	+421-44	
Malý Cetín	Nitriansky kraj	131	48.236865°N 18.176209°E	5,16	389	75,39	951 07 	555908	NR	+421-37	
Malý Čepčín	Žilinský kraj	465	48.9028°N 18.8402°E	3,09	520	168,28	038 45	512443	TR	+421-43	
Malý Horeš	Košický kraj	99	48.3958°N 21.9524°E	19,21	1 104	57,47	076 52 	528552	TV	+421-56	
Malý Kamenec	Košický kraj	98	48.3518°N 21.7896°E	5,64	442	78,37	076 36 	528561	TV	+421-56	
Malý Krtíš	Banskobystrický kraj	180	48.1897°N 19.3536°E	5,4	533	98,7	990 01 	558192	VK	+421-47	
Malý Lapáš	Nitriansky kraj	176	48.3013°N 18.1810°E	3,22	662	205,59	951 04 	555851	NR	+421-37	
Malý Lipník	Prešovský kraj	450	49.3280°N 20.7902°E	13,77	456	33,12	065 46	526886	SL	+421-52	
Malý Slavkov	Prešovský kraj	666	49.1362°N 20.3890°E	4,99	987	197,8	060 01 	581241	---	+421-52	
Malý Slivník	Prešovský kraj	385	49.1183°N 21.2590°E	2,61	856	327,97	082 67 	524832	PO	+421-51	
Malý Šariš	Prešovský kraj	295	49.0076°N 21.1787°E	8,64	1 563	180,9	080 01	524841	PO	+421-51	
Malženice	Trnavský kraj	163	48.450000°N 17.675000°E	14,85	1 414	95,22	919 29	507318	TT	+421-33	
Mankovce	Nitriansky kraj	230	48.4261°N 18.3261°E	4,24	533	125,71	951 92 	500542	ZM	+421-37	
Maňa	Nitriansky kraj	133	48.150000°N 18.283333°E	21,59	2 077	96,2	941 45	503363	NZ	+421-356595	
Marcelová	Nitriansky kraj	112	47.7901°N 18.2899°E	35,75	3 739	104,59	946 32	501239	KN	+421-35	
Margecany	Košický kraj	330	48.8915°N 21.0125°E	17,63	1 963	111,34	055 01	543322	GL	+421-53	
Marhaň	Prešovský kraj	195	49.1689°N 21.4497°E	10,4	963	92,6	086 45	519588	BJ	+421-54	
Marianka	Bratislavský kraj	220	48.248056°N 17.060000°E	3,22	1 579	490,37	900 33	508080	MA	+421-2	
Markovce	Košický kraj	101	48.5933°N 21.8465°E	8,02	927	115,59	072 06 	522783	MI	+421-56	
Markuška	Košický kraj	381	48.729910°N 20.324110°E	6,81	169	24,82	049 34	525952	RV	+421-58	
Markušovce	Košický kraj	435	48.9158°N 20.6233°E	18,51	4 147	224,04	053 21	543331	SN	+421-53	
Maršová-Rašov	Žilinský kraj	310	49.1807°N 18.5138°E	9,61	831	86,47	013 51 	517798	BY	+421-41	
Martin	Žilinský kraj	394	49.066733°N 18.922450°E	67,74	56 526	834,46	036 01	512036	MT	+421-43	
Martin nad Žitavou	Nitriansky kraj	196	48.3972°N 18.3550°E	4,33	520	120,09	953 01 	500551	ZM	037 / Zlaté Moravce /	
Martinček	Žilinský kraj	598	49.0918°N 19.3362°E	2,48	385	155,24	034 95 	510866	RK	+421-44	
Martinová	Banskobystrický kraj	180	48.2991°N 20.1709°E	3,78	213	56,35	980 41 	515183	RS	+421-47	
Martovce	Nitriansky kraj	112	47.8567°N 18.1281°E	19,96	699	35,02	947 01 	501247	KN	+421-35	
Mašková	Banskobystrický kraj	209	48.3336°N 19.5636°E	9,13	331	36,25	985 11 	511609	LC	+421-47	
Maškovce	Prešovský kraj	253	49.013889°N 21.995556°E	6,99	53	7,58	067 32 	559652	HE	+421-57	
Matejovce nad Hornádom	Košický kraj	425	48.9166°N 20.6704°E	3,62	522	144,2	053 21 	543349	SN	+421-53	
Matiaška	Prešovský kraj	220	49.0619°N 21.5819°E	12,29	272	22,13	094 31 	528854	VT	+421-57	
Matiašovce	Prešovský kraj	556	49.3538°N 20.3623°E	17,5	799	45,66	059 04 	523712	KK	4 82	
Matovce	Prešovský kraj	196	49.1392°N 21.5453°E	3,99	124	31,08	090 42 	527548	SK	+421-54	
Matúškovo	Trnavský kraj	118	48.167778°N 17.732778°E	11,95	2 056	172,05	925 01	555754	GA	+421-31	
Matysová	Prešovský kraj	600	49.3193°N 20.7516°E	10,43	74	7,09	065 46 	526894	SL	+421-52	
Maťovské Vojkovce	Košický kraj	106	48.5741°N 22.1278°E	12,29	603	49,06	079 01 	528579	MI	+421-56	
Medovarce	Banskobystrický kraj	180	48.2326°N 19.0010°E	13,24	244	18,43	962 65 	518646	KA	+421-45	
Medvedie	Prešovský kraj	365	49.3991°N 21.6402°E	5,05	48	9,5	090 05 	527556	SK	+421-54	
Medveďov	Trnavský kraj	112	47.798333°N 17.664167°E	10,39	546	52,55	930 07	501760	DS	+421-31	
Medzany	Prešovský kraj	320	49.0446°N 21.1513°E	7,07	778	110,04	082 21 	556823	PO	+421-51	
Medzev	Košický kraj	318	48.700000°N 20.891667°E	31,86	4 337	136,13	044 25	521671	KS	+421-55	
Medzianky	Prešovský kraj	240	49.033056°N 21.466667°E	4,93	292	59,23	094 31 	528862	VT	+421-57	
Medzibrod	Banskobystrický kraj	419	48.794444°N 19.358056°E	17,08	1 341	78,51	976 96	508764	BB	+421-48	
Medzibrodie nad Oravou	Žilinský kraj	514	49.2339°N 19.3436°E	6,58	500	75,99	026 01 	509833	DK	+421-43	
Medzilaborce	Prešovský kraj	326	49.270833°N 21.903889°E	47,48	6 730	141,74	068 01	520471	ML	+421-57	
Melčice-Lieskové	Trenčiansky kraj	202	48.8452°N 17.9177°E	21,58	1 583	73,35	913 05	545686	TN	+421-32	
Melek	Nitriansky kraj	165	48.2025°N 18.3270°E	6,2	452	72,9	952 01 	500569	NR	+421-37	
Meliata	Košický kraj	201	48.515000°N 20.330000°E	14,49	206	14,22	049 12 	525961	RV	+421-58	
Mengusovce	Prešovský kraj	825	49.066667°N 20.133333°E	8,94	659	73,71	059 36	523721	PP	+421-52	
Merašice	Trnavský kraj	189	48.461944°N 17.947500°E	4,94	434	87,85	920 61 	507326	HC	+421-33	
Merník	Prešovský kraj	165	48.946961°N 21.642833°E	11,59	604	52,11	094 23	528871	VT	+421-57	
Mestečko	Trenčiansky kraj	321	49.1760°N 18.2588°E	5,42	529	97,6	020 52	513377	PU	+421-42	
Mestisko	Prešovský kraj	242	49.263611°N 21.582500°E	11,06	472	42,68	090 41	527564	SK	+421-54	
Mičakovce	Prešovský kraj	179	49.0919°N 21.5201°E	4,71	148	31,42	087 01 	519596	SK	+421-54	
Mierovo	Trnavský kraj	124	48.068889°N 17.387500°E	6,19	455	73,51	930 41 	501778	DS	+421-31	
Miezgovce	Trenčiansky kraj	240	48.720556°N 18.314167°E	8,75	271	30,97	957 01 	505153	BN	+421-38	
Michajlov	Prešovský kraj	250	48.910000°N 22.347222°E	4,67	98	20,99	067 73 	520489	SV	+421-57	
Michal na Ostrove	Trnavský kraj	118	48.023889°N 17.511944°E	10,65	925	86,85	930 35	501786	DS	+421-31	
Michal nad Žitavou	Nitriansky kraj	135	48.183333°N 18.283333°E	8,19	667	81,44	941 62 	503371	NZ	+421-35	
Michalková	Banskobystrický kraj	700	48.5092°N 19.1578°E	5,42	38	7,01	962 61 	518654	ZV	+421-45	
Michalok	Prešovský kraj	256	48.9908°N 21.6326°E	12,32	306	24,84	094 23 	528889	VT	+421-57	
Michalová	Banskobystrický kraj	590	48.7625°N 19.7797°E	14,33	1 378	96,16	976 57	508772	BR	+421-48	
Michalovce	Košický kraj	114	48.749167°N 21.901389°E	52,81	39 719	752,11	071 01	522279	MI	+421-56	
Michaľany	Košický kraj	192	48.5138°N 21.6213°E	8,15	1 944	238,53	076 14	528587	TV	+421-56	
Miklušovce	Prešovský kraj	481	48.9168°N 21.0816°E	7,22	323	44,74	082 44 	524867	PO	+421-51	
Miková	Prešovský kraj	415	49.300000°N 21.833333°E	12,72	151	11,87	090 24	527572	SP	+421-54	
Mikulášová	Prešovský kraj	350	49.3838°N 21.3903°E	8	133	16,63	086 36 	519600	BJ	+421-54	
Mikušovce	Trenčiansky kraj	308	49.050000°N 18.200000°E	8,5	1 035	121,76	018 57	513385	IL	+421-42	
Mikušovce	Banskobystrický kraj	186	48.300606°N 19.683894°E	4,99	282	56,51	984 01 	580309	LC	+421-47	
Milhosť	Košický kraj	166	48.533333°N 21.266667°E	7,84	382	48,72	044 58 	580252	KS	+421-55	
Miloslavov	Bratislavský kraj	127	48.100000°N 17.300000°E	10,19	2 054	201,57	900 42 	508098	SC	+421-2	
Milpoš	Prešovský kraj	510	49.1808°N 21.0037°E	11,08	692	62,45	082 71 	524875	SB	+421	
Miňovce	Prešovský kraj	168	49.1349°N 21.6513°E	6	340	56,67	090 32	527581	SP	+421-54	
Mirkovce	Prešovský kraj	320	48.8884°N 21.3263°E	9,55	1 248	130,68	082 06 	524883	PO	+421-51	
Miroľa	Prešovský kraj	382	49.3293°N 21.7320°E	6,11	67	10,97	090 05 	527599	SK	+421-54	
Mládzovo	Banskobystrický kraj	235	48.437494°N 19.704933°E	7,98	105	13,16	985 02 	511617	PT	+421-47	
Mlynárovce	Prešovský kraj	296	49.2516°N 21.5302°E	11,22	215	19,16	090 16 	527602	SK	+421-54	
Mlynčeky	Prešovský kraj	687	49.1688°N 20.3848°E	7,68	663	86,33	059 76	523739	KK	+421-52	
Mlynica	Prešovský kraj	688	49.1008°N 20.3125°E	7,78	450	57,84	059 91 	523747	PP	+421-52	
Mlynky	Košický kraj	739	48.8526°N 20.4306°E	25,05	563	22,48	053 76	543357	SN	+421-53	
Mníchova Lehota	Trenčiansky kraj	255	48.8340°N 18.0619°E	16,62	1 244	74,85	913 21 	506231	TN	+421-32	
Mníšek nad Hnilcom	Košický kraj	431	48.8042°N 20.8047°E	39,44	1 734	43,97	055 64	543365	GL	+421-53	
Mníšek nad Popradom	Prešovský kraj	350 (+/- 20 m)	49.4146°N 20.7169°E	17,79	654	36,76	065 22	526908	SL	+421-52	
Moča	Nitriansky kraj	110	47.760000°N 18.405833°E	17,87	1 141	63,85	946 37	501255	KN	+421-35	
Močenok	Nitriansky kraj	130	48.230819°N 17.930803°E	46,39	4 300	92,69	951 31	500739	SA	+421-37	
Močiar	Banskobystrický kraj	620	48.5414°N 18.9454°E	20,92	168	8,03	969 82 	517071	BS	+421-45	
Modra	Bratislavský kraj	175	48.331667°N 17.308889°E	49,62	8 785	177,05	900 01	508101	PK	+421-33	
Modra nad Cirochou	Prešovský kraj	207	48.9417°N 22.0456°E	7,3	1 010	138,36	067 82 	520497	HE	+421-57	
Modrany	Nitriansky kraj	274	47.833333°N 18.350000°E	27,07	1 408	52,01	946 33	501263	KN	+421-35	
Modrová	Trenčiansky kraj	204	48.640194°N 17.899083°E	11,67	518	44,39	916 35	506249	NM	+421-33	
Modrovka	Trenčiansky kraj	173	48.648611°N 17.881944°E	3,16	208	65,82	916 35 	506257	NM	+421-33	
Modrý Kameň	Banskobystrický kraj	240	48.240833°N 19.333056°E	19,64	1 594	81,16	992 01	516210	VK	+421-47	
Mojmírovce	Nitriansky kraj	140	48.206944°N 18.063889°E	19,86	2 869	144,46	951 15	500577	NR	+421-37	
Mojš	Žilinský kraj	345	49.199444°N 18.820833°E	2,59	878	339	010 01 	517801	ZA	+421-41	
Mojtín	Trenčiansky kraj	636	48.9848°N 18.4059°E	10,84	477	44	020 72	513407	PU	+421-42	
Mojzesovo	Nitriansky kraj	130	48.116667°N 18.233333°E	7,49	1 325	176,9	941 04	503398	NZ	+421-35	
Mokrá Lúka	Banskobystrický kraj	295	48.6736°N 20.1491°E	15,21	518	34,06	050 01 	580384	RA	+421-58	
Mokrance	Košický kraj	212	48.5975°N 21.0203°E	23,41	1 370	58,52	045 01 	521680	KS	+421-55	
Mokroluh	Prešovský kraj	324	49.3080°N 21.2147°E	7,95	740	93,08	086 01 	519618	BJ	+421-54	
Mokrý Háj	Trnavský kraj	246	48.8118°N 17.2454°E	6,87	709	103,2	908 65	504564	SI	+421-34	
Moldava nad Bodvou	Košický kraj	216	48.606389°N 21.000278°E	19,77	11 186	565,81	045 01	521698	KS	+421-55	
Moravany	Košický kraj	Stred obce leží v nadmorskej víške 110m,	48.7389°N 21.7859°E	16,67	1 039	62,33	072 03 	522791	MI	+421-56	
Moravany nad Váhom	Trnavský kraj	175	48.602778°N 17.863889°E	10,79	2 322	215,2	922 21	507342	PN	+421-33	
Moravské Lieskové	Trenčiansky kraj	301	48.827244°N 17.801219°E	36,42	2 524	69,3	916 42	506265	NM	+421-327792	
Moravský Svätý Ján	Trnavský kraj	152	48.583333°N 16.994444°E	39,22	2 141	54,59	908 71	504572	SE	+421-34	
Most pri Bratislave	Bratislavský kraj	128	48.142222°N 17.271944°E	19,01	2 487	130,83	900 46	508110	SC	+421-2	
Mostová	Trnavský kraj	117	48.142222°N 17.676944°E	25,16	1 606	63,83	925 07	503924	GA	+421-31	
Moškovec	Žilinský kraj	448	48.9433°N 18.8292°E	2,1	63	30	038 44 	512451	TR	+421-43	
Mošovce	Žilinský kraj	495	48.9095°N 18.8876°E	58,09	1 315	22,64	038 21	512460	TR	+421-43	
Moštenica	Banskobystrický kraj	479	48.8072°N 19.2923°E	13,42	217	16,17	976 13 	508799	BB	+421-48	
Mošurov	Prešovský kraj	365	49.1202°N 21.2491°E	5,44	185	34,01	082 67 	524905	PO	+421-51	
Motešice	Trenčiansky kraj	257	48.8425°N 18.1830°E	17,39	813	46,75	913 26	506273	TN	+421-32	
Motyčky	Banskobystrický kraj	678	48.8604°N 19.1701°E	13,08	110	8,41	976 02 	508802	BB	+421-48	
Môlča	Banskobystrický kraj	478	48.7188°N 19.2313°E	9,39	353	37,59	974 01 	508781	BB	+421-48	
Mrázovce	Prešovský kraj	220	49.116667°N 21.666667°E	4,65	86	18,49	090 34 	527611	SP	+421-54	
Mučín	Banskobystrický kraj	189	48.2451°N 19.6996°E	11,74	767	65,33	985 31 	511625	LC	+421-47	
Mudroňovo	Nitriansky kraj	159	47.8326°N 18.3200°E	4,01	123	30,67	946 32 	501271	KN	+421-35	
Mudrovce	Košický kraj	428	48.8279°N 21.4505°E	5,89	71	12,05	044 47 	521701	KS	+421-55	
Muľa	Banskobystrický kraj	219	48.1939°N 19.5267°E	12,28	343	27,93	991 22 	516228	VK	+421-47	
Muráň	Banskobystrický kraj	393	48.740728°N 20.046192°E	103,15	1 235	11,97	049 01 	525987	RA	+421-58	
Muránska Dlhá Lúka	Banskobystrický kraj	343	48.7177°N 20.0812°E	18,65	889	47,67	050 01 	525995	RA	+421-58	
Muránska Huta	Banskobystrický kraj	703	48.7773°N 20.1128°E	8,46	197	23,29	049 01 	526002	RA	+421-58	
Muránska Lehota	Banskobystrický kraj	388	48.729178°N 20.055367°E	7,86	198	25,19	049 01 	526011	RA	+421-58	
Muránska Zdychava	Banskobystrický kraj	520	48.7377°N 20.1398°E	28,58	251	8,78	050 01 	526029	RA	+421-58	
Mútne	Žilinský kraj	836	49.463333°N 19.315833°E	64,45	2 912	45,18	029 63	509850	NO	+421-43	
Mužla	Nitriansky kraj	112	47.800000°N 18.600000°E	51,96	1 913	36,82	943 52	503401	NZ	+421-36	
Myjava	Trenčiansky kraj	325	48.749167°N 17.564444°E	48,54	12 114	249,57	907 01	504581	MY	+421-34	
Myslina	Prešovský kraj	160	48.9453°N 21.8525°E	9,54	569	59,64	066 01 	520501	HE	+421-57	
Mýtna	Banskobystrický kraj	270	48.466667°N 19.550000°E	20,28	1 167	57,54	985 53	511641	LC	+421-47	
Mýtne Ludany	Nitriansky kraj	152	48.1641°N 18.6628°E	17,65	974	55,18	935 56	502570	LV	+421-36	
Mýto pod Ďumbierom	Banskobystrický kraj	630	48.8524°N 19.6323°E	10,39	519	49,95	976 44	508811	BR	+421-48	
Nacina Ves	Košický kraj	128	48.820556°N 21.853611°E	15,8	1 775	112,34	072 21	522805	MI	+421-56	
Nadlice	Trenčiansky kraj	182	48.620100°N 18.251800°E	5,53	639	115,55	956 32	505170	PE	+421-38	
Naháč	Trnavský kraj	246	48.533333°N 17.533333°E	19,67	450	22,88	919 65 	507351	TT	+421-33	
Nálepkovo	Košický kraj	590	48.8419°N 20.6188°E	55,65	3 163	56,84	053 33	543373	GL	+421-53	
Námestovo	Žilinský kraj	614	49.402778°N 19.481389°E	44,45	7 915	178,07	029 01	509868	NO	+421-43	
Nána	Nitriansky kraj	110	47.826667°N 18.684167°E	17,95	1 175	65,46	943 60	556092	NZ	+421-36	
Nandraž	Banskobystrický kraj	290	48.600000°N 20.183333°E	10,61	284	26,77	049 61 	526037	RA	+421-58	
Necpaly	Žilinský kraj	510	48.966667°N 18.966667°E	42,17	883	20,94	038 12	512478	MT	+421-43	
Nedanovce	Trenčiansky kraj	180	48.5926°N 18.2920°E	7	632	90,29	958 43 	505196	PE	+421-38	
Nedašovce	Trenčiansky kraj	210	48.668333°N 18.313056°E	6,91	432	62,52	956 35	505200	BN	+421-38	
Neded	Nitriansky kraj	112 m	48.018492°N 17.970458°E	36,01	3 284	91,2	925 85	503932	SA	+421-31	
Nededza	Žilinský kraj	381	49.2198°N 18.8362°E	6,31	1 007	159,59	013 02 	517828	ZA	+421-41	
Nedožery-Brezany	Trenčiansky kraj	300	48.816667°N 18.650000°E	24,16	2 125	87,96	972 12  Nedožery-Brezany časť Nedožery)	514209	PD	+421-46	
Nechválova Polianka	Prešovský kraj	294	49.0736°N 22.0941°E	12,73	87	6,83	067 33 	520527	HE	+421-57	
Nemce	Banskobystrický kraj	410	48.762500°N 19.185278°E	4,1	1 182	288,29	974 01 	557285	BB	+421-48	
Nemcovce	Prešovský kraj	210	49.2096°N 21.4380°E	5,46	256	46,89	086 12 	519626	PO	+421-54	
Nemcovce	Prešovský kraj	210	49.048889°N 21.381944°E	5,74	474	82,58	082 12 	524913	PO	+421-51	
Nemčice	Nitriansky kraj	176	48.552500°N 18.121667°E	7,96	972	122,11	955 01 	581305	TO	+421-38	
Nemčiňany	Nitriansky kraj	212	48.3066°N 18.4455°E	15,68	688	43,88	951 81	500585	ZM	+421-37	
Nemecká	Banskobystrický kraj	429	48.810833°N 19.417222°E	24,63	1 810	73,49	976 97	508829	BR	+421-48	
Nemečky	Nitriansky kraj	270	48.6722°N 18.1158°E	6,27	308	49,12	956 22 	505226	TO	+421-38	
Nemešany	Prešovský kraj	462	49.0037°N 20.6839°E	4,01	406	101,25	053 02 	543381	LE	+421-53	
Nemšová	Trenčiansky kraj	228	48.963889°N 18.117222°E	33,44	6 271	187,53	914 41	506281	TN	+421-32	
Nenince	Banskobystrický kraj	317	48.1467°N 19.2636°E	13,48	1 388	102,97	991 26	516236	VK	+421-47	
Neporadza	Trenčiansky kraj	286	48.8223°N 18.1532°E	14,21	799	56,23	913 26 	506290	TN	+421-32	
Neporadza	Banskobystrický kraj	216	48.3628°N 20.3889°E	7,02	268	38,18	980 45 	515205	RS	+421-47	
Nesvady	Nitriansky kraj	114	47.9271°N 18.1274°E	57,86	5 090	87,97	946 51	501280	KN	+421-35	
Nesluša	Žilinský kraj	410	49.309722°N 18.746389°E	25,48	3 157	123,9	023 41	509302	KM	+421-41	
Neverice	Nitriansky kraj	180	48.3673°N 18.2753°E	5,96	680	114,09	951 72	500593	ZM	+421-37	
Nevidzany	Trenčiansky kraj	400	48.840833°N 18.484167°E	11,78	302	25,64	972 27 	514217	PD	+421-46	
Nevidzany	Nitriansky kraj	162	48.2866°N 18.3804°E	10,26	593	57,8	951 62	500607	ZM	+421-37	
Nevoľné	Banskobystrický kraj	704	48.671111°N 18.943889°E	3,11	414	133,12	967 01 	517089	ZH	+421-45	
Nezbudská Lúčka	Žilinský kraj	360	49.178169°N 18.866272°E	8,21	401	48,84	013 24 	558168	ZA	+421-41	
Nimnica	Trenčiansky kraj	266	49.1391°N 18.3567°E	7,36	715	97,15	020 71	557447	PU	+421-42	
Nitra	Nitriansky kraj	167	48.306944°N 18.086389°E	100,48	78 351	779,77	949 XX, 950 50	500011	NR	+421-37	
Nitra nad Ipľom	Banskobystrický kraj	180	48.3191°N 19.7725°E	8,12	358	44,09	985 57 	511668	LC	+421-47	
Nitrianska Blatnica	Nitriansky kraj	242	48.552778°N 17.966667°E	14,39	1 200	83,39	956 05 	505234	TO	+421-38	
Nitrianska Streda	Nitriansky kraj	170	48.5213°N 18.1752°E	13,96	770	55,16	956 16	505242	TO	+421-38	
Nitrianske Hrnčiarovce	Nitriansky kraj	204	48.3314°N 18.1243°E	9,95	1 983	199,3	951 01	556696	NR	+421-37	
Nitrianske Pravno	Trenčiansky kraj	348	48.866667°N 18.633333°E	31,2	3 151	100,99	972 13	514225	PD	+421-46	
Nitrianske Rudno	Trenčiansky kraj	318	48.799444°N 18.476667°E	14,5	1 917	132,21	972 26	514233	PD	+421-46	
Nitrianske Sučany	Trenčiansky kraj	295	48.7304°N 18.4701°E	18,07	1 221	67,57	972 21	514241	PD	+421-46	
Nitrica	Trenčiansky kraj	od 230 do 265	48.7047°N 18.4478°E	24,03	1 238	51,52	972 22	514250	PD	+421-46	
