Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Belejovce	Prešovský kraj	454	49.374722°S 21.544444°V	3,08	22	7,14	089 01 	527122	SK	+421-54	
Belín	Banskobystrický kraj	219	48.340000°S 20.108056°V	4,2	206	49,05	980 01 	514535	RS	+421-47	
Belina	Banskobystrický kraj	206	48.242778°S 19.847778°V	6,48	645	99,54	986 01 	511234	LC	+421-47	
Belince	Nitriansky kraj	161	48.461944°S 18.099722°V	2,1	322	153,33	956 12 	542661	TO	+421-35	
Bellova Ves	Trnavský kraj	119	48.088333°S 17.510833°V	6,93	245	35,35	930 52 	555517	DS	+421-31	
Beloveža	Prešovský kraj	295	49.295278°S 21.370833°V	10,15	802	79,01	086 14 	519065	BJ	+421-54	
Beluj	Banskobystrický kraj	410	48.353056°S 18.890000°V	22,81	124	5,44	969 01 	516678	BS	+421-45	
Beluša	Trenčiansky kraj	254	49.064444°S 18.328889°V	51,33	5 828	113,54	018 61	512851	PU	+421-42	
Belža	Košický kraj	177	48.579444°S 21.272778°V	5,49	405	73,77	044 58 	521167	KS	+421-55	
Beniakovce	Košický kraj	203	48.769444°S 21.317500°V	3,81	637	167,19	044 42 	521175	KS	+421-55	
Benice	Žilinský kraj	426	48.994722°S 18.872222°V	2,15	352	163,72	038 42 	512061	MT	+421-43	
Benkovce	Prešovský kraj	138	48.949167°S 21.710278°V	8,24	538	65,29	094 02 	544086	VT	+421-57	
Beňadiková	Žilinský kraj	619	49.075556°S 19.680278°V	4,97	470	94,57	032 04 	510271	LM	+421-44	
Beňadikovce	Prešovský kraj	238	49.233611°S 21.546944°V	12,56	224	17,83	090 42 	527131	SK	+421-54	
Beňadovo	Žilinský kraj	763	49.433889°S 19.342500°V	6,7	796	118,81	029 63 	509566	NO	+421-43	
Beňatina	Košický kraj	406	48.806944°S 22.321389°V	18,64	207	11,11	072 64 	522317	SO	+421-56	
Beňuš	Banskobystrický kraj	557	48.829167°S 19.760278°V	26,78	1 168	43,61	976 64	508462	BR	+421-48	
Bernolákovo	Bratislavský kraj	141	48.199167°S 17.300278°V	28,43	5 960	209,64	900 27	507814	SC	+421-2	
Bertotovce	Prešovský kraj	408	49.023611°S 21.021944°V	8,49	483	56,89	082 35 	524191	PO	+421-51	
Beša	Nitriansky kraj	164	48.138611°S 18.400000°V	7,28	644	88,46	935 36	502065	LV	+421-36	
Beša	Košický kraj	103	48.534167°S 21.952500°V	19,54	368	18,83	076 72 	528137	MI	+421-56	
Bešeňov	Nitriansky kraj	123	48.046111°S 18.263611°V	17,1	1 666	97,43	941 41	503070	NZ	+421-35	
Bešeňová	Žilinský kraj	514	49.100278°S 19.440278°V	4,3	574	133,49	034 83 	510301	RK	+421-44	
Betlanovce	Košický kraj	547	48.980556°S 20.390000°V	10,12	695	68,68	053 15 	526398	SN	+421-53	
Betliar	Košický kraj	343	48.702500°S 20.506389°V	24,67	957	38,79	049 21	525545	RV	+421-58	
Bežovce	Košický kraj	105	48.631667°S 22.152222°V	29,51	982	33,28	072 53	522325	SO	+421-56	
Bidovce	Košický kraj	249	48.736389°S 21.437222°V	9,81	1 426	145,36	044 45	521183	KS	+421-55	
Biel	Košický kraj	101	48.407778°S 22.054722°V	7,44	1 458	195,97	076 41	528145	TV	+421-56	
Bielovce	Nitriansky kraj	115	47.996389°S 18.773611°V	11,38	224	19,68	935 74 	502073	LV	+421-36	
Biely Kostol	Trnavský kraj	153	48.368611°S 17.528611°V	2,41	1 545	641,08	919 34	580473	TT	+421-33	
Bijacovce	Prešovský kraj	513	49.022500°S 20.796667°V	16,6	938	56,51	053 06	526401	LE	+421-53	
Bílkove Humence	Trnavský kraj	242	48.584167°S 17.235278°V	4,1	213	51,95	908 77 	504211	SE	+421-34	
Bíňa	Nitriansky kraj	130	47.922222°S 18.642500°V	23,5	1 465	62,34	943 56	503088	NZ	+421-36	
Bíňovce	Trnavský kraj	204	48.504722°S 17.480278°V	7,79	669	85,88	919 07	506788	TT	+421-33	
Biskupice	Banskobystrický kraj	209	48.252778°S 19.833056°V	7,88	1 145	145,3	986 01 	557315	LC	+421-47	
Biskupová	Nitriansky kraj	163	48.462500°S 17.983889°V	3,3	224	67,88	956 07 	542695	TO	+421-38	
Bitarová	Žilinský kraj	380	49.207778°S 18.671389°V	3,64	727	199,73	010 04 	547522	ZA	+421-41	
Blahová	Trnavský kraj	118	48.085833°S 17.540556°V	11,38	365	32,07	930 52	501484	DS	+421-31	
Blatná na Ostrove	Trnavský kraj	121	48.002222°S 17.438889°V	10,78	871	80,8	930 32	501492	DS	+421-31	
Blatná Polianka	Košický kraj	102	48.693611°S 22.109444°V	9,99	167	16,72	072 44 	522333	SO	+421-56	
Blatné	Bratislavský kraj	137	48.266111°S 17.420000°V	16,32	1 674	102,57	900 82 	507822	SC	+421-33	
Blatné Remety	Košický kraj	103	48.707778°S 22.105556°V	6,23	673	108,03	072 44	522341	SO	+421-56	
Blatné Revištia	Košický kraj	107	48.737222°S 22.079722°V	5,16	220	42,64	072 43 	522350	SO	+421-56	
Blatnica	Žilinský kraj	495	48.938056°S 18.926389°V	86,19	901	10,45	038 15	512079	MT	+421-43	
Blažice	Košický kraj	208	48.664722°S 21.410278°V	3,4	591	173,82	044 16 	521191	KS	+421-55	
Blažovce	Žilinský kraj	452	48.938333°S 18.840833°V	3,61	167	46,26	038 44 	512087	TR	+421-43	
Blesovce	Nitriansky kraj	233	48.558056°S 18.039167°V	5,08	349	68,7	956 01 	542709	TO	+421-38	
Blhovce	Banskobystrický kraj	205	48.273333°S 19.953056°V	18,74	804	42,9	980 32	514543	RS	+421-47	
Bobot	Trenčiansky kraj	241	48.805556°S 18.193056°V	16,08	754	46,89	913 25	505854	TN	+421-32	
Bobrov	Žilinský kraj	604	49.428056°S 19.544167°V	25,64	1 713	66,81	029 42	509582	NO	+421-43	
Bobrovček	Žilinský kraj	661	49.142500°S 19.601389°V	3,43	177	51,6	032 21 	510319	LM	+421-44	
Bobrovec	Žilinský kraj	635	49.119167°S 19.611111°V	31,13	1 836	58,98	032 21	510327	LM	+421-44	
Bobrovník	Žilinský kraj	595	49.116389°S 19.476389°V	6,78	127	18,73	032 23 	510335	LM	+421-44	
Bočiar	Košický kraj	205	48.592222°S 21.235556°V	0,47	246	523,4	044 57 	559831	KS	+421-55	
Bodíky	Trnavský kraj	119	47.926389°S 17.456667°V	24,75	278	11,23	930 31 	503461	DS	+421-31	
Bodiná	Trenčiansky kraj	411	49.108333°S 18.561944°V	7,47	494	66,13	018 15 	557633	PB	+421-42	
Bodorová	Žilinský kraj	464	48.905000°S 18.849444°V	5,11	243	47,55	038 45 	512095	TR	+421-43	
Bodovce	Prešovský kraj	444	49.111667°S 21.174167°V	7,52	331	44,02	082 66 	524204	SB	+421-51	
Bodružal	Prešovský kraj	359	49.352222°S 21.708333°V	7,24	62	8,56	090 05 	527149	SK	+421-54	
Bodza	Nitriansky kraj	110	47.833889°S 17.829444°V	6,32	360	56,96	946 16	501042	KN	+421-35	
Bodzianske Lúky	Nitriansky kraj	109	47.887500°S 17.896944°V	5,17	192	37,14	946 14 	555819	KN	+421-35	
Bogliarka	Prešovský kraj	445	49.278611°S 21.152500°V	9,39	127	13,53	086 04 	519073	BJ	+421-54	
Bohdanovce	Košický kraj	210	48.656389°S 21.400000°V	5,94	1 060	178,45	044 16	521205	KS	+421-55	
Bohdanovce nad Trnavou	Trnavský kraj	169	48.433889°S 17.542222°V	11,48	1 268	110,45	919 09	506796	TT	+421-33	
Boheľov	Trnavský kraj	112	47.920000°S 17.694722°V	8,29	347	41,86	929 01 	501506	DS	+421-31	
Bohunice	Trenčiansky kraj	241	49.018056°S 18.198611°V	7,04	758	107,67	018 52 	582301	IL	+421-42	
Bohunice	Nitriansky kraj	261	48.330556°S 18.751389°V	12,83	137	10,68	935 05 	580937	LV	+421-36	
Bohúňovo	Košický kraj	210	48.514722°S 20.383056°V	6,81	277	40,68	049 12 	525553	RV	+421-58	
Bojná	Nitriansky kraj	202	48.575556°S 18.056667°V	33,81	2 019	59,72	956 01	542717	TO	+421-38	
Bojnice	Trenčiansky kraj	291	48.779444°S 18.583056°V	19,92	4 921	247,04	972 01	513903	PD	+421-46	
Bojničky	Trnavský kraj	193	48.391667°S 17.796944°V	9,27	1 368	147,57	920 55	506800	HC	+421-33	
Boldog	Bratislavský kraj	123	48.238889°S 17.429444°V	4,5	445	98,89	925 26 	503681	SC	+421-2	
Boleráz	Trnavský kraj	172	48.465833°S 17.493056°V	25,46	2 252	88,45	919 08	506818	TT	+421-33	
Bolešov	Trenčiansky kraj	230	48.985556°S 18.156389°V	14,95	1 527	102,14	018 53	512885	IL	+421-42	
Boliarov	Košický kraj	308	48.804167°S 21.431111°V	9,41	821	87,25	044 47 	521213	KS	+421-55	
Boľ	Košický kraj	101	48.469167°S 21.942500°V	12,6	729	57,86	076 53	528161	TV	+421-56	
Boľkovce	Banskobystrický kraj	186	48.336944°S 19.770278°V	10,99	634	57,69	984 01 	511251	LC	+421-47	
Borcová	Žilinský kraj	449	48.927500°S 18.838611°V	2,09	133	63,64	038 44 	512109	TR	+421-43	
Borčany	Trenčiansky kraj	197	48.657778°S 18.218056°V	3,11	254	81,67	956 36 	556793	BN	+421-38	
Borčice	Trenčiansky kraj	228	48.979167°S 18.138056°V	4,12	514	124,76	018 53 	557391	IL	+421-42	
Borinka	Bratislavský kraj	263	48.262500°S 17.086389°V	15,79	664	42,05	900 32 	507831	MA	+421-2	
Borová	Trnavský kraj	233	48.388333°S 17.443056°V	5,91	407	68,87	919 61 	506826	TT	+421-33	
Borovce	Trnavský kraj	161	48.576667°S 17.746111°V	10,87	974	89,6	922 09	506834	PN	+421-33	
Borský Mikuláš	Trnavský kraj	197	48.627778°S 17.212778°V	49,98	3 939	78,81	908 77	504238	SE	+421-34	
Borský Svätý Jur	Trnavský kraj	174	48.614444°S 17.041944°V	39,72	1 640	41,29	908 79	504220	SE	+421-34	
Borša	Košický kraj	101	48.392500°S 21.704167°V	9,54	1 193	125,05	076 32	528170	TV	+421-56	
Bory	Nitriansky kraj	153	48.179444°S 18.751111°V	8,81	315	35,75	935 87 	502090	LV	+421-36	
Bošáca	Trenčiansky kraj	330	48.828611°S 17.838333°V	19,6	1 382	70,51	913 07	505871	NM	+421-32	
Bošany	Trenčiansky kraj	177	48.580556°S 18.247222°V	14,39	4 137	287,49	956 18	542733	PE	+421-38	
Bottovo	Banskobystrický kraj	196	48.313056°S 20.150000°V	10,79	205	19	980 41 	514551	RS	+421-47	
Boťany	Košický kraj	101	48.444444°S 22.089722°V	19,52	1 253	64,19	076 43 	528188	TV	+421-56	
Bôrka	Košický kraj	560	48.630278°S 20.763333°V	23,74	535	22,54	049 42 	525561	RV	+421-58	
Bracovce	Košický kraj	105	48.645556°S 21.839444°V	9,62	949	98,65	072 05	522368	MI	+421-56	
Branč	Nitriansky kraj	133	48.210833°S 18.147778°V	13,81	2 205	159,67	951 13	500071	NR	+421-37	
Branovo	Nitriansky kraj	128	48.023056°S 18.306111°V	9,32	597	64,06	941 31 	503096	NZ	+421-35	
Bratislava	---	152	48.14389°S 17.10972°V	367	417 389	1 137,3	8XX XX	---	---	+421-2	
Braväcovo	Banskobystrický kraj	610	48.840000°S 19.750000°V	29,41	695	23,63	976 64 	508489	BR	+421-48	
Brdárka	Košický kraj	569	48.767222°S 20.337778°V	6,13	70	11,42	049 34 	525570	RV	+421-58	
Brehov	Košický kraj	111	48.486389°S 21.819722°V	7,9	601	76,08	076 05 	528200	TV	+421-56	
Brehy	Banskobystrický kraj	221	48.407222°S 18.649444°V	12,36	1 047	84,71	968 01 	581607	ZC	+421-45	
Brekov	Prešovský kraj	140	48.905278°S 21.839167°V	9,71	1 365	140,58	066 01 	520055	HE	+421-57	
Brestov	Prešovský kraj	212	48.967778°S 21.885556°V	10,12	589	58,2	066 01 	520063	HE	+421-57	
Brestov	Prešovský kraj	290	48.868611°S 21.348333°V	10,37	451	43,49	082 05 	524212	PO	+421-51	
Brestov nad Laborcom	Prešovský kraj	215	49.111667°S 21.938611°V	6,04	108	17,88	067 01 	520071	ML	+421-57	
Brestovany	Trnavský kraj	136	48.381389°S 17.684444°V	16,37	2 548	155,65	919 27	506842	TT	+421-33	
Brestovec	Trenčiansky kraj	387	48.793333°S 17.566389°V	17,34	937	54,04	907 01 	504254	MY	+421-34	
Brestovec	Nitriansky kraj	110	47.860000°S 17.824722°V	7,49	468	62,48	946 17 	501069	KN	+421-35	
Bretejovce	Prešovský kraj	215	48.827778°S 21.294722°V	4,38	377	86,07	082 03 	524221	PO	+421-51	
Bretka	Košický kraj	191	48.487778°S 20.340833°V	9,54	395	41,4	980 46 	514578	RV	+421-47	
Breza	Žilinský kraj	657	49.387500°S 19.385000°V	22,52	1 588	70,52	029 53	509591	NO	+421-43	
Brezany	Žilinský kraj	381	49.188889°S 18.673333°V	3,66	581	158,74	010 04 	547557	ZA	+421-41	
Brezina	Košický kraj	179	48.550000°S 21.553056°V	12,96	707	54,55	076 12 	528218	TV	+421-56	
Breziny	Banskobystrický kraj	366	48.512500°S 19.084444°V	5,48	362	66,06	962 61 	518191	ZV	+421-45	
Breznica	Prešovský kraj	176	49.163056°S 21.661111°V	9,92	787	79,33	091 01 	527157	SP	+421-54	
Breznička	Banskobystrický kraj	227	48.420833°S 19.738333°V	9,21	780	84,69	985 02	511269	PT	+421-47	
Breznička	Prešovský kraj	235	49.224722°S 21.702778°V	5,84	125	21,4	091 01 	527165	SP	+421-54	
Brezno	Banskobystrický kraj	504	48.806667°S 19.642222°V	121,96	21 534	176,57	977 01, 977 03	508497	BR	+421-48	
Brezolupy	Trenčiansky kraj	222	48.701389°S 18.300556°V	6,34	499	78,71	957 01 	542741	BN	+421-38	
Brezov	Prešovský kraj	190	49.144444°S 21.492222°V	6,89	383	55,59	087 01 	519081	BJ	+421-54	
Brezová pod Bradlom	Trenčiansky kraj	265	48.665833°S 17.540556°V	41,08	5 041	122,71	906 13	504262	MY	+421-34	
Brezovec	Prešovský kraj	269	48.935556°S 22.386944°V	3,43	47	13,7	067 73 	520080	SV	+421-57	
Brezovica	Prešovský kraj	447	49.145278°S 20.847500°V	18,23	1 719	94,3	082 74 (Brezovica nad Torysou)	524239	SB	+421-51	
Brezovica	Žilinský kraj	720	49.340833°S 19.651944°V	19,21	1 303	67,83	028 01 	509604	TS	+421-43	
Brezovička	Prešovský kraj	467	49.128611°S 20.854722°V	8,99	427	47,5	082 74 	524247	SB	+421-51	
Brezovka	Prešovský kraj	346	49.270278°S 21.422222°V	3,27	116	35,47	086 11 	519090	BJ	+421-54	
Brežany	Prešovský kraj	367	48.979444°S 21.108611°V	3,31	154	46,53	082 41 	524255	PO	+421-51	
Brhlovce	Nitriansky kraj	204	48.215000°S 18.740000°V	13,38	315	23,54	935 02 	502103	LV	+421-36	
Brieštie	Žilinský kraj	561	48.916667°S 18.737500°V	11,17	145	12,98	038 22 	512117	TR	+421-43	
Brodské	Trnavský kraj	160	48.690556°S 17.015278°V	19,89	2 349	118,1	908 85	504271	SI	+421-34	
Brodzany	Trenčiansky kraj	192	48.607222°S 18.344444°V	18,29	806	44,07	958 42	580449	PE	+421-38	
Brunovce	Trenčiansky kraj	172	48.672500°S 17.855556°V	5,82	560	96,22	916 25 	505889	NM	+421-32	
Brusnica	Prešovský kraj	191	49.153611°S 21.700556°V	14,28	414	28,99	090 31 	527173	SP	+421-54	
Brusník	Banskobystrický kraj	235	48.298889°S 19.402222°V	7,76	114	14,69	991 01 	515884	VK	+421-47	
Brusno	Banskobystrický kraj	410	48.791944°S 19.381667°V	43,51	2 137	49,12	976 62	508675	BB	+421-48	
Brutovce	Prešovský kraj	864	49.087222°S 20.776111°V	13,68	192	14,04	053 73	526410	LE	+421-53	
Bruty	Nitriansky kraj	155	47.923333°S 18.581389°V	20,53	606	29,52	943 55	503100	NZ	+421-36	
Brvnište	Trenčiansky kraj	360	49.214444°S 18.427222°V	6,94	1 197	172,48	018 12	512915	PB	+421-42	
Brzotín	Košický kraj	262	48.630278°S 20.497778°V	20,57	1 343	65,29	049 51	560022	RV	+421-58	
Buclovany	Prešovský kraj	238	49.154444°S 21.366111°V	4,1	211	51,46	086 43 	519103	BJ	+421-54	
Búč	Nitriansky kraj	117	47.806667°S 18.443056°V	31,5	1 160	36,83	946 35	501077	KN	+421-35	
Bučany	Trnavský kraj	153	48.418611°S 17.699167°V	16,58	2 288	138	919 28	506851	TT	+421-33	
Budča	Banskobystrický kraj	285	48.573889°S 19.070278°V	15,91	1 287	80,89	962 33	518204	ZV	+421-45	
Budikovany	Banskobystrický kraj	221	48.484722°S 20.091111°V	3,33	60	18,02	980 23 	514586	RS	+421-47	
Budimír	Košický kraj	219	48.797222°S 21.305000°V	6,99	1 103	157,8	044 43	521221	KS	+421-55	
Budiná	Banskobystrický kraj	629	48.456389°S 19.478333°V	17,3	257	14,86	985 12 	511277	LC	+421-47	
Budince	Košický kraj	104	48.544167°S 22.122222°V	1,96	220	112,24	076 77 	513857	MI	+421-56	
Budiš	Žilinský kraj	478	48.874167°S 18.753333°V	10,28	206	20,04	038 23 	512125	TR	+421-43	
Budkovce	Košický kraj	102	48.632500°S 21.929167°V	19,84	1 497	75,45	072 15	522376	MI	+421-56	
Budmerice	Bratislavský kraj	176	48.356389°S 17.407778°V	30,08	2 336	77,66	900 86	507849	PK	+421-33	
Buglovce	Prešovský kraj	455	48.985000°S 20.696667°V	3,03	273	90,1	053 04 	526428	LE	+421-53	
Buková	Trnavský kraj	310	48.542778°S 17.397222°V	24,29	663	27,3	919 10 	506869	TT	+421-33	
Bukovce	Prešovský kraj	235	49.265833°S 21.715000°V	11,06	531	48,01	090 22	527181	SP	+421-54	
Bukovec	Košický kraj	351	48.709444°S 21.150000°V	10,85	816	75,21	044 20 	521248	KS	+421-55	
Bukovec	Trenčiansky kraj	360	48.698889°S 17.497500°V	15,47	424	27,41	906 14 	504289	MY	+421-34	
Bukovina	Žilinský kraj	591	49.134444°S 19.471111°V	1,91	109	57,07	032 23 	510351	LM	+421-44	
Bulhary	Banskobystrický kraj	220	48.293333°S 19.848056°V	9,54	316	33,12	986 01 	558273	LC	+421-47	
Bunetice	Košický kraj	412	48.860278°S 21.394167°V	8,35	85	10,18	044 47 	521256	KS	+421-55	
Bunkovce	Košický kraj	106	48.723056°S 22.118889°V	7,79	368	47,24	072 44 	522384	SO	+421-56	
Bušince	Banskobystrický kraj	162	48.173056°S 19.500556°V	12,5	1 466	117,28	991 22	515892	VK	+421-47	
